sentence1,sentence2,similarity
采矿权人姓名,采矿权人姓名,entailment
采矿权人身份证号,采矿权人公民身份号码,entailment
采矿权许可证号,许可证号,entailment
法定代表人,法定代表人,entailment
开采矿种,开采矿种,entailment
矿区面积,矿区面积,entailment
矿山名称,矿山名称,entailment
联系电话,联系电话,entailment
年开采规模,年开采规模,entailment
统一社会信用代码,统一社会信用代码,entailment
有效到期日期,有效到期日期,entailment
有效起始日期,有效起始日期,entailment
住所,住所地址,entailment
组织机构代码,组织机构代码,entailment
变更类型,变更类型,entailment
采矿方法,采矿方法,entailment
采矿回采率,采矿回采率,entailment
采矿权取得方式,采矿权取得方式,entailment
采矿权使用费,采矿权使用费,entailment
采深上限,矿产采深上限,entailment
采深下限,矿产采深下限,entailment
地质报告审批情况,矿产地质报告审批情况,entailment
法定代表人,法定代表人,entailment
划定矿区范围,划定矿区范围,entailment
经济类型,采矿权经济类型,entailment
价款处置方式,价款处置方式,entailment
开采方式,采矿开采方式,entailment
开采主矿种,开采矿种,entailment
矿区编码,矿区编码,entailment
矿区面积,矿区面积,entailment
矿权终止时间,矿权终止日期,entailment
矿山名称,矿山名称,entailment
矿石贫化率,矿石贫化率,entailment
矿石品位,矿石品位,entailment
签发时间,发证日期,entailment
其它主矿种,其它主矿种,entailment
设计规模,矿产设计规模,entailment
设计利用储量,矿产设计利用储量,entailment
设计年限,采矿年限,entailment
申请人,申请人姓名,entailment
申请人身份证号,申请人公民身份号码,entailment
所在行政区,行政区划名称,entailment
探矿权取得方式,探矿权取得方式,entailment
探明地质储量,矿产探明地质储量,entailment
投资额,采矿投资额,entailment
投资额单位,投资额单位,entailment
选矿方法,选矿方法,entailment
选矿回收率,选矿回收率,entailment
许可证号,许可证号,entailment
项目档案号,采矿权项目档案号,entailment
项目简介,采矿项目简介,entailment
项目类型,采矿权项目类型,entailment
项目审批机关,项目审批机关,entailment
应缴纳采矿权价款,应缴纳采矿权价款,entailment
有效期起,有效起始日期,entailment
有效期限,采矿权有效期限,entailment
有效期止,有效到期日期,entailment
总储量,矿产总储量,entailment
注册资金,注册资金,entailment
注册资金单位,注册资金单位,entailment
资金来源,采矿资金来源,entailment
补偿费交纳情况,补偿费交纳情况,entailment
保有储量,矿产保有储量,entailment
登记唯一标识,采矿登记唯一标识,entailment
价款处置情况,价款处置情况,entailment
使用费交纳情况,采矿使用费交纳情况,entailment
许可证号,许可证号,entailment
项目档案号,采矿权项目档案号,entailment
采矿权人姓名,采矿权人姓名,entailment
采矿权人身份证号,采矿权人公民身份号码,entailment
注销原因,注销原因,entailment
采矿注销标识,采矿注销标识,entailment
采矿权价款缴纳方式词表,采矿权价款缴纳方式,entailment
采矿权使用费,采矿权使用费,entailment
采矿权属有无争议,采矿权属有无争议,entailment
采深上限,矿产采深上限,entailment
采深下限,矿产采深下限,entailment
登记唯一标识,采矿登记唯一标识,entailment
地理位置,矿产地理位置,entailment
法定代表人,法定代表人,entailment
划定矿区范围,划定矿区范围,entailment
经济类型词表,受让人经济类型,entailment
矿区编码,矿区编码,entailment
矿区面积,矿区面积,entailment
矿山名称,矿山名称,entailment
签发时间,发证日期,entailment
受让人,受让人,entailment
受让人电话,受让人联系电话,entailment
受让人法定代表人,受让人法定代表人,entailment
受让人经济类型词表,受让人经济类型,entailment
受让人开户银行,受让人开户银行,entailment
受让人邮编,受让人邮政编码,entailment
受让人帐号,采矿受让人帐号,entailment
许可证号,许可证号,entailment
项目类型,采矿权项目类型,entailment
项目审批机关,项目审批机关,entailment
预期建矿时间,预期建矿时间,entailment
预期开采规模,矿产预期开采规模,entailment
原许可证号,原许可证号,entailment
原项目审批机关,原项目审批机关,entailment
有效期起,有效起始日期,entailment
有效期限,采矿权有效期限,entailment
有效期止,有效到期日期,entailment
准备投资规模,准备投资规模,entailment
资金条件,采矿权受让人资金条件,entailment
转让价格(万元),转让价格,entailment
转让申请人即采矿权人,原采矿权人姓名,entailment
申请人身份证号,申请人公民身份号码,entailment
采矿权转让标识,采矿权转让标识,entailment
不动产权证号,不动产权证号,entailment
被查封单位,被查封单位,entailment
查封标识码,查封标识码,entailment
查封机关,查封机关,entailment
查封文号,查封文号,entailment
登记机构,不动产登记机构,entailment
查封日期,查封日期,entailment
权利人姓名,不动产权利人姓名,entailment
权利人身份证号码,权利人公民身份号码,entailment
解封日期,解封日期,entailment
权利表名,不动产权利表名,entailment
权利标识码,不动产权利标识码,entailment
查封坐落,不动产坐落,entailment
状态,不动产状态,entailment
行政区编码,行政区划代码,entailment
被担保债权数额,被担保债权数额,entailment
不动产登记证明号,不动产登记证明号,entailment
登记机构,不动产登记机构,entailment
抵押登记日期,不动产抵押登记日期,entailment
抵押方式,不动产抵押方式,entailment
抵押期限,抵押期限,entailment
抵押顺序,抵押顺序,entailment
权利表名,不动产权利表名,entailment
权利标识码,不动产权利标识码,entailment
抵押权人名称,抵押权人名称,entailment
抵押权人身份证号,抵押权人公民身份号码,entailment
抵押人名称,抵押人,entailment
抵押人身份证号,抵押人公民身份号码,entailment
最高债权数额,不动产抵押最高债权数额,entailment
状态,不动产状态,entailment
抵押注销时间,抵押注销时间,entailment
抵押标识码,不动产抵押标识码,entailment
行政区编码,行政区划代码,entailment
不动产单元号,不动产单元号,entailment
不动产权字号,不动产权字号,entailment
登簿时间,不动产登簿时间,entailment
登记机构,不动产登记机构,entailment
共有情况,不动产共有情况,entailment
面积,不动产面积,entailment
权利表名,不动产权利表名,entailment
权利标识码,不动产权利标识码,entailment
权利类型,不动产权利类型,entailment
权利其他状况,权利其他状况,entailment
权利人姓名,不动产权利人姓名,entailment
权利性质,不动产权利性质,entailment
省编号,省代码,entailment
使用期限,不动产使用期限,entailment
缮证时间,不动产缮证时间,entailment
用途,海域用途,entailment
权利人身份证号码,权利人公民身份号码,entailment
坐落,不动产坐落,entailment
证书状态,海域使用权证书状态,entailment
行政区编码,行政区划代码,entailment
地区名称,所在地区,entailment
发证机关,发证机关,entailment
个人姓名,不动产权利人姓名,entailment
个人联系方式,联系电话,entailment
签发日期,证件签发日期,entailment
企业法人名称,法定代表人姓名,entailment
企业联系方式,企业联系电话,entailment
企业名称,企业名称,entailment
个人身份证号码,公民身份号码,entailment
省,省,entailment
市,市,entailment
区县,区县,entailment
乡镇,乡镇名称,entailment
村,所在村,entailment
水域滩涂类型,水域滩涂类型,entailment
水域滩涂面积,水域滩涂面积,entailment
水域滩涂养殖证编号,水域滩涂养殖证编号,entailment
所有制性质,所有制性质,entailment
延期后有效期结束时间,延期有效期结束时间,entailment
延期后有效期开始时间,延期有效期开始时间,entailment
有效期结束日期,有效期截止日期,entailment
有效期开始日期,有效期开始日期,entailment
养殖证所属地,所属地区,entailment
养殖方式,养殖方式,entailment
注销时间,注销时间,entailment
注销原因,注销原因,entailment
发证机关,发证机关,entailment
颁证时间,发证时间,entailment
地址,矿产地址,entailment
经济类型,采矿权经济类型,entailment
开采方式,采矿开采方式,entailment
开采矿种,开采矿种,entailment
开采深度,开采深度,entailment
矿区范围,矿区范围,entailment
矿区面积,矿区面积,entailment
矿山名称,矿山名称,entailment
采矿权人,采矿权人,entailment
身份证号码,公民身份号码,entailment
生成规模,矿产生成规模,entailment
统一社会信用代码,统一社会信用代码,entailment
行政区划,行政区划名称,entailment
有效期止,有效到期日期,entailment
有效期起,有效起始日期,entailment
状态,许可证状态,entailment
许可证号,许可证号,entailment
发证机关,发证机关,entailment
颁证时间,发证时间,entailment
地理位置,矿产地理位置,entailment
勘查单位地址,勘查单位地址,entailment
勘查面积,勘查面积,entailment
勘查项目名称,勘查项目名称,entailment
探矿权人,探矿权人,entailment
身份证号码,公民身份号码,entailment
探矿权人地址,探矿权人地址,entailment
行政区划,行政区划名称,entailment
有效期止,有效到期日期,entailment
有效期起,有效起始日期,entailment
状态,许可证状态,entailment
许可证号,许可证号,entailment
不动产单元号,不动产单元号,entailment
房屋用途或预售用途,房屋用途,entailment
房屋坐落,不动产坐落,entailment
合同备案时间,合同备案时间,entailment
合同编号,合同编号,entailment
合同购房金额或交易价格,合同购房金额,entailment
经纪机构名称,经纪机构名称,entailment
房屋建筑面积,房屋建筑面积,entailment
房屋买受人,房屋买受人姓名,entailment
房屋买受人证件号码,房屋买受人身份证件号码,entailment
房屋买受人证件类型,房屋买受人身份证件类型,entailment
所在城市,所在城市,entailment
所在区县市,所在市县区,entailment
房屋出卖人,房屋出卖人,entailment
房屋出卖人证件号码,房屋出卖人身份证件号码,entailment
房屋出卖人证件类型,房屋出卖人身份证件类型,entailment
首付款,不动产首付款,entailment
托管状态（0托管1非托管2托管取消）,不动产托管状态,entailment
买受人类型（1自然人、2机构）,买受人类型,entailment
房屋用途,房屋用途,entailment
所在行政区域,行政区划名称,entailment
幢号,房屋幢号,entailment
预销售证编号,房产预售证号,entailment
销售方式,销售方式,entailment
买受人身份证,买受人公民身份号码,entailment
首付款百分比,首付款百分比,entailment
付款方式,付款方式,entailment
面积,不动产面积,entailment
总价,房产交易总价,entailment
户坐落,不动产坐落,entailment
户号,房屋户号,entailment
联系手机,联系电话,entailment
买受人姓名,买受人姓名,entailment
出卖人（公司名称）,出卖人名称,entailment
备案号,房产交易备案号,entailment
合同编号,合同编号,entailment
状态,合同状态,entailment
注销完成时间,注销完成时间,entailment
备案完成时间,备案完成时间,entailment
签订完成时间,不动产交易签订完成时间,entailment
房屋用途(预售用途),房屋用途,entailment
房屋坐落,不动产坐落,entailment
合同备案时间,合同备案时间,entailment
合同编号,合同编号,entailment
合同购房金额（交易价格）(万元),合同购房金额,entailment
房屋建筑面积(平方米),房屋建筑面积,entailment
开发企业名称,开发企业名称,entailment
开发企业统一编号,开发企业统一社会信用代码,entailment
房屋买受人,房屋买受人姓名,entailment
房屋买受人证件号码,房屋买受人身份证件号码,entailment
房屋买受人证件类型,房屋买受人身份证件类型,entailment
所在城市,所在城市,entailment
所在区县,所在区县,entailment
不动产单元号,不动产单元号,entailment
登记机构,不动产登记机构,entailment
单元标识码,不动产单元号,entailment
房屋性质,房屋性质,entailment
房屋用途,房屋用途,entailment
房屋结构,房屋结构,entailment
建筑年份,建筑年份,entailment
建筑面积,建筑面积,entailment
权利表名,不动产权利表名,entailment
权利标识码,不动产权利标识码,entailment
所在楼层,所在楼层,entailment
幢总层数,幢总层数,entailment
坐落,不动产坐落,entailment
登记机构,不动产登记机构,entailment
联系电话,联系电话,entailment
权利表名,不动产权利表名,entailment
权利标识码,不动产权利标识码,entailment
权利人名称,权利人名称,entailment
权利人证件号,权利人身份证件号码,entailment
权利人证件种类,权利人身份证件类型,entailment
不动产单元号,不动产单元号,entailment
序号,权利人序号,entailment
不动产单元号,不动产单元号,entailment
不动产权证号,不动产权证号,entailment
登簿时间,不动产登簿时间,entailment
登记机构,不动产登记机构,entailment
共有情况,不动产共有情况,entailment
权利表名,不动产权利表名,entailment
权利标识码,不动产权利标识码,entailment
权利类型,不动产权利类型,entailment
权利其他状况,权利其他状况,entailment
权利人,权利人名称,entailment
权利人身份证号码,权利人公民身份号码,entailment
权利人类型,权利人类型,entailment
权利性质,不动产权利性质,entailment
权利比例,不动产权利比例,entailment
使用期限,不动产使用期限,entailment
缮证时间,不动产缮证时间,entailment
房屋坐落,不动产坐落,entailment
房屋性质,房屋性质,entailment
房屋规划用途,房屋用途,entailment
房屋建筑面积,房屋建筑面积,entailment
套内建筑面积,不动产套内建筑面积,entailment
所在建筑物总层数,不动产总层数,entailment
状态,不动产状态,entailment
所有权注销（变更）时间,所有权注销变更时间,entailment
省编号,省代码,entailment
行政区编码,行政区划代码,entailment
车辆类型名称,车辆类型,entailment
中文品牌,中文品牌,entailment
车辆识别代号,车辆识别代码,entailment
车辆型号,车辆型号,entailment
车外廓长,机动车外廓长,entailment
车外廓高,机动车外廓高,entailment
车外廓宽,机动车外廓宽,entailment
发动机号,发动机号码,entailment
发证机关名称,发证机关,entailment
发证日期,发证日期,entailment
核定载人数,机动车核定载人数,entailment
核定载质量,机动车核定载质量,entailment
身份证明号码,身份证件号码,entailment
身份证明名称,身份证件类型,entailment
所有人,所有人,entailment
使用性质,机动车使用性质,entailment
使用性质说明,机动车使用性质,entailment
检验有效期止,机动车检验有效期截止日期,entailment
整备质量,机动车整备质量,entailment
准牵引总质量,机动车准牵引总质量,entailment
状态,动产状态,entailment
总质量,机动车总质量,entailment
号牌号码,车牌号码,entailment
号牌种类,机动车号牌种类,entailment
发证时间,发证时间,entailment
注册登记时间,机动车注册登记日期,entailment
牌照有效期限,牌照有效期限,entailment
登记证书编号,机动车登记证书编号,entailment
车辆型号,车辆型号,entailment
拖拉机最小使用质量,机动车最小使用质量,entailment
联合收割机质量,联合收割机质量,entailment
拖拉机最大允许载质量,机动车最大允许载质量,entailment
准乘人数,机动车准乘人数,entailment
外廓尺寸-长,外廓尺寸长,entailment
外廓尺寸-宽,外廓尺寸宽,entailment
外廓尺寸-高,外廓尺寸高,entailment
是否临牌,是否临牌,entailment
身份证号,公民身份号码,entailment
车牌号码,车牌号码,entailment
所属地区,所属地区,entailment
机身颜色,机身颜色,entailment
车辆照片,车辆照片,entailment
生产企业名称,生产企业,entailment
发证机关,发证机关,entailment
车辆类型,车辆类型,entailment
状态,动产状态,entailment
所有人,所有人,entailment
底盘机架号,底盘机架号,entailment
挂车架号码,车辆识别代码,entailment
发动机号码,发动机号码,entailment
车辆品牌,车辆品牌,entailment
状态,动产状态,entailment
年检时间,年检时间,entailment
有效截止日期,有效期截止日期,entailment
保险生效日期,机动车保险生效日期,entailment
保险截止日期,机动车保险截止日期,entailment
车牌号码,车牌号码,entailment
年检单位,年检单位,entailment
登记证书编号,机动车登记证书编号,entailment
机主姓名,拖拉机和联合收割机机主姓名,entailment
证件类型,身份证件类型,entailment
证件号码,身份证件号码,entailment
车辆类型,车辆类型,entailment
状态,动产状态,entailment
兵役状况,兵役状况,entailment
出生地国家（地区）,出生地国家地区,entailment
出生地省市县（区）,出生地省市县区,entailment
出生日期,出生日期,entailment
出生证明编号,出生医学证明编号,entailment
城乡属性,城乡属性,entailment
曾用名,曾用名,entailment
服务处所,工作单位,entailment
公民身份号码,公民身份号码,entailment
婚姻状况,婚姻状况,entailment
籍贯国家（地区）,籍贯国家地区,entailment
籍贯省市县（区）,籍贯省市区县,entailment
籍贯详址,籍贯详址,entailment
街路巷代码,街路巷代码,entailment
所属街路巷名称,所属街路巷,entailment
居委会代码,居委会代码,entailment
所属居民委会名称,所属居民委会,entailment
居住地地址编码,居住地地址编码,entailment
居住地省市县（区）,居住地省市区县,entailment
